gene_id	1_002	10_167	11_221	12_229	13_236	14_5622	15_31542	16_32921	17_13342	18_33260	19_14434	2_007	20_36277	21_17393	22_2940	23_3420	24_4152	25_23507	3_033	4_056	5_060	6_075	7_095	8_100	9_149
ENSG00000000003	4855	716	799	577	817	669	713	614	557	578	1007	845	792	923	776	908	836	813	723	740	870	699	560	842	970
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	25566	4578	3815	3344	3392	5041	2947	3432	3907	3022	4115	6132	2372	3149	1441	3285	4184	4480	2232	3815	2096	3794	4410	4492	5575
ENSG00000000457	4560	826	1219	905	1370	876	569	720	742	524	948	865	984	1261	852	763	1091	829	608	612	685	676	482	624	454
ENSG00000000460	5967	408	641	403	412	454	457	361	439	289	431	453	679	560	533	500	738	507	349	373	592	447	432	490	471
ENSG00000000938	427	63	36	118	53	32	53	73	36	23	75	53	70	53	55	157	62	43	63	46	83	103	88	130	497
ENSG00000000971	18	0	9	0	0	0	0	0	0	12	12	0	0	22	0	10	0	10	4	5	0	1	5	11	0
ENSG00000001036	2622	591	606	635	739	884	512	697	635	661	1237	648	1139	963	1005	1122	712	649	631	587	712	801	490	924	1179
ENSG00000001084	35178	3349	3966	2690	3442	3649	2420	2805	3468	1964	4461	2882	3857	4837	3213	5394	3504	4232	3107	3146	1892	3494	2766	4770	3788
ENSG00000001167	11812	4892	4498	4677	5057	3860	1751	4097	7601	6692	3304	6684	3030	3903	4140	3984	6161	5526	5669	3894	5998	4300	6598	4321	5151
ENSG00000001460	8568	548	636	712	852	779	586	884	622	542	907	725	1108	760	861	981	925	685	681	769	1009	665	617	808	715
ENSG00000001461	12397	1652	1740	1542	2420	1981	2833	2831	1860	1502	2104	1621	3195	2741	2440	2702	2262	2634	1655	1978	1988	1159	1302	1842	968
